,0
0,Noto Sans Psalter Pahlavi
1,Noto Sans Devanagari
2,Noto Sans Khmer
3,Caecilia Light
4,Noto Sans Wancho
5,Ubuntu
6,Noto Sans Avestan
7,STIXSizeOneSym
8,Noto Sans Lisu
9,Noto Sans Runic
10,Noto Sans Tai Tham
11,Noto Sans Syriac
12,Noto Sans Mahajani
13,Noto Sans Hanifi Rohingya
14,Noto Sans Adlam Unjoined
15,Victor Mono
16,Monoton
17,Carlito
18,cmss10
19,Noto Nastaliq Urdu
20,cmb10
21,Noto Sans Armenian
22,Noto Sans Coptic
23,Product Sans Medium
24,DejaVu Sans Display
25,Emulogic
26,Noto Sans Thaana
27,D050000L
28,Noto Sans Lydian
29,Bavro
30,FantasqueSansM Nerd Font Mono
31,Noto Sans Inscriptional Pahlavi
32,Noto Sans Kannada UI
33,Arvo
34,Noto Sans Tamil Supplement
35,Noto Sans Warang Citi
36,Noto Sans Khudawadi
37,Noto Sans Saurashtra
38,Noto Sans Cypro Minoan
39,CaskaydiaCove Nerd Font Mono
40,Frankentype Personal Use Only
41,Noto Sans Lepcha
42,Noto Sans Phags-Pa
43,Noto Sans Syloti Nagri
44,Noto Sans Rejang
45,Noto Sans Telugu
46,Noto Sans Tifinagh SIL
47,Noto Fangsong KSS Vertical
48,Noto Serif Gujarati
49,Noto Serif Myanmar
50,Noto Sans Nandinagari
51,Noto Sans Kharoshthi
52,FantasqueSansM Nerd Font
53,Noto Sans Myanmar
54,CaskaydiaCove Nerd Font
55,Noto Serif Ahom
56,Ubuntu Condensed
57,Noto Serif Tamil
58,Noto Sans Sundanese
59,Noto Sans Malayalam UI
60,Noto Sans Hanunoo
61,Noto Sans Marchen
62,Belgrado
63,Alba Super
64,Standard Symbols PS
65,Charge Vector Bold
66,JetBrains Mono
67,Noto Sans Medefaidrin
68,Noto Serif Kannada
69,P052
70,Noto Sans Tifinagh Ahaggar
71,Noto Sans Tirhuta
72,Noto Sans Deseret
73,Noto Sans Balinese
74,Noto Sans Tifinagh Air
75,Noto Sans Mono
76,Noto Fangsong KSS Rotated
77,Noto Sans Chakma
78,Noto Sans Tamil
79,Noto Sans Anatolian Hieroglyphs
80,ROCKETWILDNESS
81,Noto Serif Toto
82,70'S DISCO PERSONAL USE
83,Noto Sans Old Permic
84,Noto Sans Ugaritic
85,Noto Sans Modi
86,Noto Sans Tagalog
87,Noto Sans Math
88,Noto Sans Khojki
89,DejaVu Math TeX Gyre
90,Noto Sans Tai Le
91,Noto Emoji
92,Noto Sans Oriya
93,Noto Sans Ethiopic
94,Nimbus Mono PS
95,Noto Serif Oriya
96,Noto Sans Tifinagh Agraw Imazighen
97,Noto Sans Mende Kikakui
98,Liberation Sans
99,Beon
100,My Girl Is Retro
101,Noto Sans Egyptian Hieroglyphs
102,Circular Std Book
103,Nimbus Sans
104,Noto Serif
105,Noto Sans Lycian
106,Noto Sans Vithkuqi
107,DejaVu Sans Mono
108,DejaVu Sans
109,Noto Sans Javanese
110,Noto Sans Telugu UI
111,Momcake
112,Noto Sans Masaram Gondi
113,Noto Traditional Nushu
114,SD Cammello Demo
115,Noto Sans Palmyrene
116,Noto Sans Cypriot
117,Noto Serif Armenian
118,Special Elite
119,Charge Vector Thin
120,Unifont
121,Noto Serif Gurmukhi
122,Noto Sans Bamum
123,Hendrickson
124,Noto Sans Syriac Eastern
125,Product Sans
126,Caecilia LT Pro
127,Nimbus Sans Narrow
128,Noto Sans Bengali UI
129,Calculator
130,Space Game
131,Noto Sans Caucasian Albanian
132,Noto Serif Dogra
133,Noto Sans Pau Cin Hau
134,Noto Sans Thai
135,Noto Sans Samaritan
136,Noto Sans Hatran
137,Noto Sans Tifinagh
138,Cascadia Code PL
139,Noto Sans Tifinagh Hawad
140,Noto Sans Gothic
141,DejaVu Serif
142,Noto Sans NKo
143,Noto Sans Sinhala UI
144,Noto Sans Manichaean
145,Noto Serif Lao
146,Noto Sans Nabataean
147,Noto Serif Test
148,Noto Sans Meroitic
149,Noto Naskh Arabic
150,Noto Serif Makasar
151,Cascadia Code
152,Noto Sans Miao
153,Noto Looped Thai
154,Noto Sans Ogham
155,gallant12x22
156,Source Code Pro
157,Noto Sans Nushu
158,Cascadia Mono PL
159,Noto Serif Dives Akuru
160,Prisma
161,Game Of Squids
162,Tulpen One
163,Cascadia Mono
164,CaskaydiaCove Nerd Font Propo
165,Noto Sans Batak
166,Noto Rashi Hebrew
167,Noto Sans Bhaiksuki
168,Noto Serif Hebrew
169,Noto Serif Tangut
170,cmr10
171,FantasqueSansM Nerd Font Propo
172,Charge Vector
173,Noto Music
174,Noto Serif Thai
175,Noto Sans Tifinagh Adrar
176,Game Played
177,Salt
178,Noto Sans Georgian
179,C059
180,Noto Sans Gurmukhi
181,Noto Sans New Tai Lue
182,Noto Sans Osage
183,Noto Sans Hebrew
184,Bulgatti
185,Noto Sans Limbu
186,Noto Sans Tangsa
187,DejaVu Serif Display
188,Noto Sans Zanabazar Square
189,Noto Sans Kayah Li
190,Noto Sans Canadian Aboriginal
191,Noto Sans Old Italic
192,Noto Sans Tagbanwa
193,Liberation Serif
194,Noto Sans Devanagari UI
195,URW Bookman
196,Atari Font Full Version
197,URW Gothic
198,Noto Sans Indic Siyaq Numbers
199,MonoLisa
200,Noto Sans Kannada
201,Noto Sans Lao Looped
202,Noto Serif Tibetan
203,ArcadeClassic
204,Noto Sans Newa
205,Noto Serif Ottoman Siyaq
206,Noto Sans Linear A
207,Noto Serif Malayalam
208,Noto Sans Arabic
209,OCR A Std
210,Luxi Mono
211,Noto Sans Cuneiform
212,Noto Sans Chorasmian
213,cmsy10
214,Noto Sans Gujarati UI
215,Whitney Light
216,Games
217,Noto Serif Khojki
218,Game Played Outline
219,Noto Serif Georgian
220,Noto Sans Gujarati
221,Alba Matter
222,Noto Serif Display
223,STIXGeneral
224,Noto Sans Carian
225,Z003
226,Noto Sans Takri
227,Noto Sans Symbols 2
228,Noto Sans Mongolian
229,Times New Roman
230,STIXSizeFiveSym
231,Noto Naskh Arabic UI
232,Nimbus Roman
233,Noto Sans Tai Viet
234,Noto Sans Gurmukhi UI
235,cmtt10
236,Noto Serif Bengali
237,FreeSans
238,cmmi10
239,STIXNonUnicode
240,Noto Sans Imperial Aramaic
241,Noto Sans Lao
242,Noto Sans Cherokee
243,Noto Sans Vai
244,Noto Sans Linear B
245,STIXSizeThreeSym
246,Noto Sans Old Persian
247,Noto Sans
248,Noto Sans Old South Arabian
249,Noto Sans Thai Looped
250,Noto Sans Adlam
251,Noto Sans Buhid
