Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
205.2,116.36,1601.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
AWS Estimate,Asia Pacific (Mumbai),,DynamoDB provisioned capacity,205.2,32.68,597.36,USD,,"Table class (Standard), Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (10 GB)"
AWS Estimate,Asia Pacific (Mumbai),,DynamoDB Backup and restore,0,1.71,20.52,USD,,On-demand backup data storage (15 GB)
AWS Estimate,Asia Pacific (Mumbai),,DynamoDB Data export to Amazon S3,0,0,0.00,USD,,
AWS Estimate,Asia Pacific (Mumbai),,DynamoDB Data Import from Amazon S3,0,0,0.00,USD,,
AWS Estimate,Asia Pacific (Mumbai),,Amazon EC2 ,0,78.402,940.82,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c6g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
AWS Estimate,Asia Pacific (Mumbai),,S3 Standard,0,3.57,42.84,USD,,"S3 Standard storage (100 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (150000), GET, SELECT, and all other requests from S3 Standard (150000), Data returned by S3 Select (10 GB per month), Data scanned by S3 Select (100 GB per month)"
AWS Estimate,Asia Pacific (Mumbai),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Internet (1 TB per month), DT Outbound: Not selected (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
